institution,retraction_count,median_citations,primary_country
Hainan University,45,3.0,China
Nanjing Agricultural University,45,5.0,China
Amirkabir University of Technology,45,23.0,Iran
Iran University of Science and Technology,45,14.0,Iran
Yanshan University,45,4.0,China
University Hospital,45,23.0,Sweden
Affiliated Hospital of Jining Medical University,45,13.0,China
Bukhara State Pedagogical Institute,44,0.0,Uzbekistan
Nantong University,44,6.0,China
Sona College of Technology,44,8.0,India
Asia University,44,14.0,Taiwan
North China University of Science and Technology,44,5.0,China
Guangxi University,44,1.0,China
University of Edinburgh,44,15.0,United Kingdom
University of L'Aquila,44,8.5,Italy
Tarbiat Modares University,44,11.5,Iran
All India Institute of Medical Sciences,44,10.5,India
Zhongnan Hospital of Wuhan University,44,7.0,China
Wayne State University,43,51.0,United States
University of Pennsylvania,43,26.0,United States
Southwest Petroleum University,43,1.0,China
Imperial College London,43,10.0,United Kingdom
Chinese Academy of Agricultural Sciences,43,9.0,China
Indian Institute of Technology,43,21.0,India
Henan University of Technology,43,1.0,China
Guangzhou University of Chinese Medicine,43,9.0,China
Harbin University of Commerce,43,1.0,China
The Chinese University of Hong Kong,43,6.0,China
The First Affiliated Hospital of Xinxiang Medical University,43,18.0,China
University of Melbourne,42,12.0,Australia
The Second Affiliated Hospital of Soochow University,42,3.5,China
Ghazi University,42,16.5,Pakistan
Weifang People's Hospital,42,11.0,China
University of Calabar,42,13.5,India
South China Normal University,42,2.5,China
University of Baghdad,42,1.0,Iraq
Zhongnan University of Economics and Law,42,3.0,China
Nanjing Forestry University,42,3.0,China
Guangzhou Medical University,42,14.0,China
Kyungpook National University,42,6.5,South Korea
Hebei University,42,3.5,China
The University of Lahore,42,9.0,Pakistan
The First Affiliated Hospital of Anhui Medical University,42,6.0,China
University of Management and Technology,42,6.5,Pakistan
Nanjing University of Science and Technology,41,4.0,China
University of Glasgow,41,28.0,United Kingdom
Henan Institute of Science and Technology,41,1.0,China
Chang'an University,41,0.0,China
Arba Minch University,41,11.0,Ethiopia
Beijing Forestry University,41,0.0,China
The Second Affiliated Hospital of Nanchang University,41,11.0,China
Dalian Maritime University,41,1.0,China
Ajman University,41,10.0,China
Panimalar Engineering College,41,5.0,India
