institution,retraction_count,median_citations,primary_country
Shenzhen Children's Hospital Shenzhen,1,16.0,China
Shanghai Jiading Central Hospital,1,30.0,China
Shanghai Jiading Hospital of Traditional Chinese Medicine,1,3.0,China
Shenzhen Campus of Sun Yat-sen University,1,2.0,China
Shanghai Institute of Technical Physics Chinese Academy of Sciences,1,0.0,China
Shenzhen Bao’an District Songgang People’s Hospital,1,2.0,China
Shenzhen Baoan Women's and Children's Hospital,1,6.0,China
Shanghai Jiangong Hospital Intensive Care Unit (ICU),1,3.0,China
Shanghai Jiao Tong University (SJTU),1,161.0,China
Shenzhen Hospital of Beijing University of Chinese Medicine,1,15.0,China
Shanghai Institute of Pollution Control and Ecological Security,1,9.0,Australia
Shenzhen Hospital of Armed Police Frontier Corps,1,20.0,China
Shanghai Institute of Spaceflight Control Technology,1,5.0,China
Shenzhen Guangming Middle School,1,1.0,China
Shenzhen Bao’an People’s Hospital (Group),1,6.0,China
Shenyang Northern Hospital,1,13.0,China
Shenyang Medical College Affiliated Central Hospital,1,32.0,China
Bart{\i}n University,1,4.0,Turkey
Shenyang Li-gong University,1,1.0,China
Bartın University,1,4.0,Turkey
Shenyang Jinghua Hospital,1,13.0,China
Shenyang Jian Zhu University,1,1.0,China
Shenyang Institute of University,1,2.0,China
Shenyang Artillery Academy PLA,1,2.0,China
Bart’s and The London School of Medicine and Dentistry,1,8.0,Germany
Shenyang Institute of Computing Technology,1,0.0,China
Shenyang University of Aeronautics and Astronautics Shenyang,1,0.0,China
Shenyang University Of Chemical Technology Shenyang,1,9.0,China
Baruch College/City University of New York,1,12.0,United States
Shenyang Sports Universitye,1,1.0,China
Barani Institute of Sciences Sahiwal Campus,1,51.0,Malaysia
Shenyang Radio &TV University,1,0.0,China
Shenyang Institute of Food and Drug Control,1,1.0,China
Shenyang Aircraft Design Institute,1,2.0,China
Shanghai Geotechnical Investigations & Design Institute,1,7.0,China
Shenyang Agriculture University Economic and Management College SYAU Economic and Management College,1,1.0,China
Shenyang Agricultural University Shenyang,1,0.0,China
Shenyang Agricultural University College of Economics & Management,1,0.0,China
Shenyang Agriclture University,1,0.0,China
Shengzhou People’s Hospital,1,3.0,China
Shenyang Institute of Automation Chinese Academy of Sciences,1,8.0,China
Shenyang Artillery Academy of the P.L.A,1,1.0,China
Shanghai High School International Division,1,2.0,Australia
Shanghai Hudong Hospital,1,3.0,China
Shenyang Institute of Aeronautics & Engineering,1,0.0,China
Shenyang Institute Engineering,1,1.0,China
Shenyang Fourth People's Hospital of China Medical University,1,1.0,China
Barts & The London School of Medicine and Dentistry,1,5.0,United Kingdom
Barts Cancer Institute,1,1.0,United Kingdom
Shenyang Center of Geological Survey,1,0.0,China
Barts Heart Centre,1,1.0,United Kingdom
Shanghai Guangzhong Street Community Health Service Center,1,5.0,China
Shandong Yuhuangding Hospital,1,17.0,China
Shenzhen Nanshan Maternal and Child Health Care Hospital,1,65.0,China
Shenzhen Nanshan District Maternal and Child Health Care Hospital,1,4.0,China
Shenzhen Middle School,1,1.0,China
Shenzhen Maternity and Child Healthcare Hospital,1,27.0,China
Shenzhen MSU-BIT University,1,11.0,China
Shenzhen Longhua District People’s Hospital,1,6.0,China
Shenzhen Longgang District Maternity and Child Health Care Hospital,1,3.0,China
Shenyang agricultural university,1,0.0,China
Shanghai First Maternity and Infant Hospital,1,10.0,China
Shenzhen People’s Hospital (The First Affiliated Hospital Southern University of Science and Technology),1,5.0,China
Shanghai First People's Hospital,1,30.0,China
Shanghai Fisheries Research Institute,1,67.0,China
Shanghai Fisheries University,1,6.0,China
Shanghai Foreign Trade University,1,0.0,China
Shenzhen People's Hospital 2nd Clinical Medical College of Jinan University,1,45.0,China
Shanghai Eighth People's Hospital Affiliated to Jiang Su University,1,4.0,China
Shanghai Film Academy,1,2.0,China
Sher-e-Kashmir University of Agricultural Sciences and Technology Srinagar,1,6.0,China
Sher-e-Kashmir University of Agricultural Sciences and Technology (SKUAST-Kashmir),1,10.0,India
Shang Hai Jiao Tong University,1,1.0,China
Shang Hai Medical College,1,9.0,China
ShangHai Jiao Tong University,1,2.0,China
Shandong Vocationnal College of Science and Technology,1,4.0,China
Shandong Water Conservancy Vocational College,1,4.0,China
Shi Jiazhuang Tiedao University,1,0.0,China
Shevchenko Kyiv National University,1,0.0,Ukraine
Shi Jia Zhuang Tiedao University,1,2.0,China
Shi Jia Zhuang Tie Dao University,1,0.0,China
Shandong Water Vocational College,1,0.0,China
Sheyang People's Hospital,1,5.0,China
Shandong Wendeng Orthopaedic & Traumatic Hospital,1,31.0,China
Sheyang County People’s Hospital,1,6.0,China
Shexian Hospital of Traditional Chinese Medicine,1,2.0,China
Shandong Yi Dou Central Hospital Affiliated to Weifang Medical College,1,30.0,China
Shandong Yingcai University,1,27.0,China
Shi Jiazhang University,1,0.0,China
Shanghai Eastern Hepatobiliary Surgery Hospital,1,4.0,China
Shanghai Chang Zheng Hospital affiliated to China Second Military Medical University,1,19.0,China
Shanghai Changhai Hospital,1,5.0,China
Shanghai Changning Maternity and Infant Health Hospital,1,48.0,China
Shenzhen Tourism College of Jinan University,1,4.0,China
Shanghai Changning Mental Health Center,1,2.0,China
Shenzhen Third People’s Hospital,1,14.0,China
Shenzhen Third People's Hospital,1,3.0,China
Shenzhen Pengcheng Technician College,1,1.0,China
Shenzhen Strong Sports & Health Management Center,1,8.0,China
Shanghai Chest Hospital Affiliated to Shanghai Jiaotong University,1,16.0,China
Shenzhen Baoan Shajing People’s Hospital of Guangzhou Medical University,1,33.0,China
Shenzhen Baoan Middle School (Group) Junior High School,1,1.0,China
Shenzhen Bao'an Maternity and Child Health Hospital,1,162.0,China
Shenzhen Affiliated Hospital of Guangzhou University of Chinese Medicine,1,13.0,China
Shenzhen Aerospace Tech-Innovation Institute,1,228.0,China
Shanghai Institutes for Biological Sciences Chinese Academy of Sciences,1,8.0,China
Shenyang university of technology,1,0.0,China
Shanghai Chest Hospital Affiliated to Shanghai JiaoTong University,1,6.0,China
Shanghai Engineering Research Center of Maricultured Animal Vaccines,1,1.0,China
Shanghai Fengxian District Central Hospital,1,11.0,China
Shanghai Fengxian District Central Hospital/Southern Medical University Affiliated Fengxian Hospital,1,22.0,China
Shenzhen Peking University - The Hong Kong University of Science and Technology Medical Center,1,26.0,China
Shenzhen Party School,1,49.0,China
Shenzhen Nanshan People’s Hospital/Affiliated Shenzhen Sixth Hospital of Guangdong Medical University,1,12.0,China
Shenzhen Nanshan Maternal and Child Healthcare Hospital,1,0.0,China
Shenzhen Shajing Affiliated Hospital of Guangzhou Medical University,1,32.0,China
Shanghai Donghai Vocational and Technical College,1,7.0,China
Shanghai Fifth Rehabilitation Hospital,1,15.0,China
Shanghai Chinatop Institute of Economic Research,1,0.0,China
Shenzhen Research Institute of Hunan University,1,1.0,China
Shanghai Clinical Medical Center of Neurosurgery,1,4.0,China
Shanghai Collaborative Innovation Center of Laser Advanced Manufacturing Technology,1,9.0,China
Shanghai Customs College,1,3.0,China
Shanghai Donghai Senior Nursing Hospital,1,6.0,China
Shenzhen Prevention and Treatment Center for Occupational Diseases,1,0.0,China
Shenzhen Polytechnic Institute,1,1.0,China
Shenzhen Second People’s Hospital. The First Affiliated Hospital of Shenzhen University,1,4.0,China
School of Liberal and International Education,1,6.0,China
School of Life Sciences and Biotechnology Shanghai Jiaotong University,1,0.0,China
State Grid Energy Research Institute,1,47.0,China
School of Management & Economics Yanshan University,1,0.0,China
State Grid Shandong Electric Power Company Marketing Service Center (Measurement Center),1,4.0,China
State Grid ShanDong Electric Power Research Institute,1,0.0,China
State Grid Liaoning Marketing Service Center,1,1.0,China
State Grid Jiangsu Marketing Service Center(Metrology Center),1,2.0,China
Second Department of Clinical Psychology,1,6.0,China
School of Mathematical Sciences,1,0.0,Malaysia
State Grid Jiangsu Electric Power Co.Ltd Economic Technology Institute,1,0.0,China
State Grid JiangSu Marketing Service Center,1,2.0,China
School of Mathematics Madurai Kamaraj University,1,45.0,India
State Grid Hunan Electric Power Company Limited Research Institute,1,3.0,China
St. Xavier's College (Autonomous),1,245.0,Ethiopia
School of Mathematics Thapar Institute of Engineering & Technology (Deemed University),1,0.0,China
School of Management Beijing Union University Beijing,1,0.0,China
State Grid Chongqing Electric Power Company Electric Power Research Institute,1,1.0,China
State Cultivation Base of Crop Stress Biology for Southern Mountainous Land of Southwest University,1,0.0,China
State Budgetary Institution of the Rostov Region Perinatal Center,1,0.0,Russia
School of Management Northwest Polytechnical University Xian,1,0.0,China
School of Management Northwestern Polytechnical University,1,0.0,China
State Budgetary Educational Institution of Higher Professional Education Russian National Research Medical University named after N.I. Pirogov,1,3.0,Russia
School of Management Northwestern Polytechnical University Xian,1,0.0,China
School of Management Science and Engineering,1,0.0,China
School of Liberal Education,1,7.0,China
State Grid Henan Electric Power Company Electric Power Research Institute,1,53.0,China
State Grid Hebei Training Center,1,3.0,China
State Grid Gansu Electric Power Research Institute,1,3.0,China
School of Management Guangdong University of Technology Chaozhou,1,0.0,China
School of Management HUST,1,1.0,China
School of Management Harbin Institute of Technology,1,0.0,China
School of Management Harbin Normal University. Harbin,1,1.0,China
School of Management Hubei University of Technology,1,0.0,China
School of Li Ren,1,0.0,China
School of Management Beijing Union University Beijing 100101,1,0.0,China
St. Xavier’s Catholic College of Engineering,1,0.0,India
St. Xavier’s Autonomous College,1,46.0,Australia
School of Management and Information,1,4.0,China
St. Xaviers Catholic College of Engineering,1,5.0,India
School of Management of Guangdong University of Foreign Studies,1,0.0,China
Stamina Foundation,1,2.0,Italy
Stamford International University,1,11.0,China
School of Management of Henan University of Science and Technology,1,0.0,China
School of Mathematics and Computer Science,1,7.0,China
School of Management. China University of Mining and,1,0.0,China
Staff of Clinical Oncology,1,1.0,Brazil
Staff Hospital of Qiqihar Machine Tool Group Co. Ltd.,1,4.0,China
St.Vincent Pallotti College of Engineering and Technology,1,0.0,India
School of Management. University of Shanghai Science & Technology,1,0.0,China
St.Jude's College,1,51.0,Bosnia & Herzegovina
School of ManagementAssumption UniversityBangkokThailand,1,104.0,Thailand
School of Management Xi'an University of Architecture & Technology,1,0.0,China
School of Management of Huazhong University of Science and Technology Wuhan City,1,0.0,China
St. Xavier's College,1,2.0,Nepal
School of Mathematics and Information Engineering,1,1.0,China
BMS Institute of Technology & Management,1,0.0,India
School of Mathematics and Information Science Wenzhou University Wenzhou,1,0.0,China
School of Mathematics and Physics,1,0.0,China
BML Munjal University,1,2.0,India
BMAS Engineering College,1,1.0,India
School of Marine Engineering,1,0.0,China
School of Math. & Computer Engineering,1,5.0,China
School of Maritime Studies of Vels Institute of Science,1,23.0,China
BLDE (Deemed to be University) Shri B.M. Patil Medical College,1,2.0,India
St.Joseph’s College of Engineering,1,9.0,India
School of Marketing Management of Liaoning Technical University,1,1.0,China
School of Materials Science and Engineering of Ocean University of China,1,7.0,China
St.Josephs College Of Engineering And Technology,1,3.0,India
St.Joseph university,1,18.0,Canada
St.Anthony's College (North Eastern hill University),1,21.0,India
School of Materials Science and Engineering of University of Jinan,1,7.0,China
School of Marine Science and Technology Northwestern Polytechnical University,1,4.0,China
State Key Laboratory of Military Stomatology & National Clinical Research Center for Oral Diseases & Shaanxi Clinical Research Center for Oral Diseases,1,28.0,China
State Key Laboratory of Marine Environmental Science of China (Xiamen University),1,1.0,China
State Key Laboratory of Information Security (Graduate University of Chinese Academy of Sciences),1,7.0,China
School of International Exchange,1,2.0,China
State Key Laboratory of Information Photonics and Optical Communications (Beijing University of Posts and Telecommunications),1,0.0,China
State Key Laboratory of Bioorganic and Natural Products Chemistry Shanghai Institute of Organic Chemistry Chinese Academy of Sciences,1,36.0,China
School of International Media,1,4.0,China
School of International Studies Hunan Institute of Technology Hengyang Hunan 421002,1,3.0,China
State Grid East Inner Mongolia Electric Power Research Institute,1,8.0,China
School of International Trade,1,3.0,China
State Key Lab of Software Engineering (Wuhan University),1,2.0,China
School of International Trade Anhalt University of Applied Sciences,1,1.0,China
State Information Center,1,0.0,China
School of International Business Administration Zhejiang International Studies University Hangzhou Zhejiang,1,0.0,China
State Marine Technical University,1,14.0,Russia
State Key Laboratory of Traditional Chinese Medicine Syndrome/The Second Clinical College of Guangzhou University of Chinese Medicine,1,3.0,China
State Key Laboratory of Simulation and Regulation of Water Cycle in River Basin & China Institute of Water Resources and Hydropower Research,1,17.0,China
School of International Studies/Academy of Overseas Chinese Studies,1,2.0,China
School of International Trade Anhalt University of Applied Sciences Bernburg,1,0.0,China
State University of Trade and Economics,1,1.0,Ukraine
State Humanitarian and Technological University (Orekhovo-Zuevo),1,0.0,Russia
State Humanitarian Technological University,1,1.0,Russia
School of International culture and communication Zhejiang University of Media and Communications Hangzhou,1,0.0,China
State Grid of China Technology College,1,0.0,China
School of Jilin Engineering Normal University,1,1.0,China
School of Journalism and Communication,1,1.0,China
School of International Education South China University of Technology Guangzhou Guangdong China,1,6.0,China
State Grid Tianjin Electric Power Research Institute,1,5.0,China
State Grid Smart Grid Research Institute Co.,1,1.0,China
State Grid Sichuan Electric Power Research Institute,1,1.0,China
School of Landscape Engineerin,1,6.0,China
School of Language Studies and Academics,1,1.0,Qatar
State Grid Shanghai Electric Power Research Institute,1,1.0,China
State Grid Shandong Electric Power Research Institute,1,1.0,China
School of Language and Culture,1,1.0,China
School of International Education (International School of Engineering),1,0.0,China
School of Kinesiology and Health Science,1,131.0,Canada
School of Management Tianjin University,1,0.0,China
School of Management Tianjin University Tianjin,1,0.0,China
School of Management Tianjin University of Technology,1,0.0,China
State Academy of Sciences,1,1.0,North Korea
Starbody plastic surgery Clinic,1,19.0,China
Star Lion College of Engineering and Technology,1,15.0,India
Star Hospitals,1,2.0,India
School of Management University of Liverpool,1,1.0,United Kingdom
School of International Business and Tourism,1,5.0,China
Stanley Dudrick's Memorial Hospital,1,4.0,Croatia
School of Management University of Science and Technology of China 511R,1,0.0,China
Stanley College of Engineering & Technology for Women,1,0.0,India
School of Management Inner Mongolia University of Technology Hohhot,1,0.0,China
Stanley Center for Psychiatric Research,1,23.0,Israel
School of Management Jilin University Changchun,1,0.0,China
State Grid Electric Power Reaearch Institute,1,1.0,China
State Grid Economic and Technological Research Institute Co.,1,2.0,China
Stanley Dudrick’s Memorial Hospital,1,3.0,Belgium
State Key Laboratory of Silicate Materials for Architectures (Wuhan University of Technology),1,7.0,China
School of International Business and Trade,1,11.0,China
State Key Laboratory of Separation Membranes and Membrane Processes/ National Center for International Joint Research on Separation Membranes,1,0.0,China
School of International Cooperation,1,20.0,China
State Key Laboratory of Respiratory Disease for Allergy at Shenzhen University,1,4.0,China
State Key Laboratory of Oral Diseases & National Clinical Research Center for Oral Diseases,1,6.0,China
State Key Laboratory of Multiphase Flow in Power Engineering Xi’an Jiaotong University,1,7.0,China
School of International Cultural Exchange Central University of Finance and Economics Beijing,1,0.0,China
State Organization “Institute for Economics and Forecasting of Ukrainian National Academy of Sciences of Ukraine”,1,0.0,Ukraine
School of International Economics,1,2.0,China
State University Hospital of Rio de Janeiro,1,99.0,Brazil
School of International Economics and Trade Beijing International Studies,1,0.0,China
School of Management Shanghai,1,0.0,China
State Scientific Center of the Russian Federation - Institute of Biomedical Problems RAS (Moscow),1,0.0,Russia
State Research Institute for Genetics and Selection of Industrial Microorganisms,1,0.0,Iran
School of Management Shanxi Normal University Linfen,1,0.0,China
State Research Institute Centre for Innovative Medicine,1,6.0,China
State Property Centre,1,8.0,China
State University of Amazonas,1,3.0,Brazil
School of Music Chuzhou University Chuzhou Anhui,1,21.0,China
St. Michael’s Hospital Toronto,1,109.0,Canada
School of Music Jinzhong University,1,2.0,China
School of Medicine at CCNY,1,18.0,United States
School of Medicine in Shanghai Jiao Tong University,1,77.0,China
School of Medicine in Tongji University,1,77.0,China
St. Michael's Hospital and the University of Toronto,1,29.0,Canada
School of Medicine of Ribeirão Preto,1,0.0,Brazil
St.Joseph’s Institute of Technology,1,7.0,India
School of Mobile Communication,1,4.0,China
St. Michael's Hospital and University of Toronto,1,1.0,Canada
St. Petersburg University of Management Technologies and Economics,1,0.0,Russia
School of Modern Business,1,0.0,China
St. Petersburg State University of Economics,1,7.0,Russia
St. Petersburg State Polytechnical University,1,13.0,Russia
St. Petersburg National Research University of Information Technologies,1,1.0,Russia
School of Medicine and Medical Sciences,1,5.0,Colombia
School of MedicinePusan National University,1,3.0,South Korea
St. Michael's Hospital,1,11.0,Canada
St. Mary’s Hospital,1,17.0,Japan
School of Nautical Technology,1,1.0,China
School of Network and Information Security,1,2.0,China
St. Mary’s College (Autonomous),1,0.0,India
St. Mary’s Best ENT Clinic,1,2.0,South Korea
School of North China University,1,4.0,China
School of Nursing Wannan Medical College,1,2.0,China
School of Multimedia Technology and Communication Universiti Utara Malaysia,1,9.0,China
St. Martin's Engineering College,1,11.0,India
School of Modern Languages and Linguistics University of Southampton,1,3.0,China
St. Luke’s Hospital,1,6.0,Greece
St. Paul's Cathedral Mission College,1,2.0,India
St. Paul University Manila,1,0.0,Philippines
School of Mudanjiang Medical University,1,8.0,China
St. Paul University,1,3.0,China
St. Michael’s Pain & Spine Clinics,1,14.0,United States
School of Mudanjiang Normal University,1,7.0,China
St. Martin’s Engineering College,1,1.0,India
Beijing Chao-Yang Hospital,1,6.0,China
Beijing Chaoyang Hospital,1,2.0,China
St. Bartholomew's Hospital,1,116.0,Canada
Beijing Chaoyang Hospital Affiliated to Capital Medical University,1,3.0,China
St. James’s University Teaching Hospital,1,2.0,United Kingdom
Beijing Aiyuhua Maternal and Children Hospital,1,4.0,China
Beijing Anzhen Hospital Capital Medical University,1,11.0,China
St. Georges Hospital Medical School and St Georges Vaccine Institute,1,5.0,Brazil
School of Medicine and Menzies Health Institute Queensland,1,51.0,Australia
Beijing Army General Hospital,1,198.0,China
Beijing Aviation General Hospital,1,6.0,China
St. George's University Hospitals NHS Foundation Trust,1,4.0,United Kingdom
St. Francis Xavier University,1,19.0,Canada
Beijing Capital International Airport Hospital,1,3.0,China
St. Joseph Dental College,1,10.0,India
School of Pharmacy Sungkyunkwan University Suwon Korea,1,40.0,South Korea
School of Pharmacy and Pharmaceutical Sciences,1,45.0,Egypt
Beijing Anzhen Hospital of Capital Medical University,1,3.0,China
St. Peter the Great St. Petersburg Polytechnic University,1,2.0,India
St. Paul’s Hospital Millennium Medical College,1,2.0,Ethiopia
St. Paul's Hospital,1,0.0,Canada
St. Erik Eye Hospital,1,28.0,Sweden
St. Elizabeth Health Center,1,2.0,United States
St. Christopher’s Hospital for Children,1,52.0,United States
School of Medicine and Molecular Horizons,1,15.0,Australia
St. Charles Epilepsy/New York University Comprehensive Epilepsy Center,1,1.0,Mexico
Beijing Changping District Hospital,1,2.0,China
School of Medicine and Pharmacology,1,71.0,Australia
School of Medicine and Psychology,1,14.0,Italy
School of Medicine and Public Health,1,6.0,United States
School of Medicine and Surgery “Federico II” of Naples,1,30.0,Italy
Beijing Capital Normal University,1,59.0,China
Beijing Center for Vaccine Control,1,10.0,Australia
Beijing Central Hospital,1,0.0,China
St. Bartholomew's and Royal London Medical and Dental Schools,1,5.0,Brazil
Beijing Centre for Physical & Chemical Analysis,1,0.0,China
St. Berchmans College (Autonomous),1,1.0,Belgium
St. Petersburg University of Management and Economics,1,48.0,Egypt
B.S Abdur Rahman Crescent Institute of Science and Technology,1,0.0,India
B.M.S. College of Engineering,1,0.0,India
B.L.D.E.A.’s Engg (sic) College and Tech.,1,0.0,India
B.L.D.E.A's V.P. Dr. P. G. Halakatti College of Engineering and Technology (Affiliated to Visvesvaraya Technological University,1,3.0,India
B.E. College,1,24.0,India
B.B. Ambedkar Central University,1,59.0,India
School of Medicine and Engineering,1,15.0,China
School of Nanjing University of Technology,1,0.0,China
B. S.Abdur Rahman Crescent Institute of Science and Technology,1,238.0,Egypt
School of Medicine and Health,1,1527.0,Australia
BC Cancer Research Centre,1,3.0,Canada
BAU Bahçeşehir University Faculty of Medicine,1,2.0,Turkey
B.S.Abdur Rahman Crescent Institute of Science and Technology,1,17.0,India
School of Medicine and Health Management,1,2.0,China
B.S. Abdur Rahman University,1,1.0,India
School of Medicine and Humanities,1,5.0,China
B. V. Raju Institute of Technology,1,68.0,Ethiopia
Stanford University Sleep Medicine Program,1,59.0,United States
Stanford University School of Medicine and Stanford Health Care,1,0.0,Japan
School of Management Zhejiang Ocean University Zhoushan,1,1.0,China
Stanford University CA,1,16.0,United States
School of Management and Economics Beijing Institute of Technology Beijing,1,0.0,China
Stanford Institute for Materials and Energy Sciences,1,18.0,United States
School of Management and Economics Shandong Normal University,1,0.0,China
Stanford Institute for Materials and Energy Science,1,284.0,United States
St. Petersburg branch of the All-Russian Research Institute of Fisheries and Oceanography (State Research Institute of Lake and River Fisheries named after L.S. Berg) Makarova emb.,1,0.0,China
St. Xavier's Catholic College of Engineering,1,6.0,India
St. Vincent’s Institute,1,29.0,Australia
St. Vincent's Institute of Medical Research,1,34.0,Australia
School of Medicine and Allied Medical Sciences,1,147.0,Brazil
St. Vincent's Centre for Applied Medical Research,1,22.0,Australia
School of Medicine and Biomedical Sciences,1,0.0,Germany
School of Medicine and Department of Cell Biology,1,78.0,Brazil
St. Vincent Pallotti College of Engineering & Technology,1,7.0,India
St. Vincent Health Center,1,1.0,Pakistan
School of Medicine University of Split,1,212.0,Canada
BC Children’s Hospital Research Institute,1,11.0,Canada
School of Mathematics and Statistics,1,1.0,China
School of Mathematics and Statistics Wuhan University Hubei,1,1.0,China
School of Mechanical Engineering (SMEC),1,13.0,Germany
School of Mechanical Engineering Beijing Institute of Technology,1,0.0,China
BC Children's Hospital Research Institute and University of British Columbia,1,0.0,Canada
School of Mechanical Science and Engineering,1,2.0,China
School of Mechanical and Aerospace Engineering Nanyang Technological University,1,5.0,Singapore
School of Medical Science and Laboratory Medicine Jiangsu University Zhenjiang People’s Republic of China,1,2.0,China
St. Luke's Hospital,1,0.0,Greece
St. Louis University School of Medicine,1,120.0,France
School of Mechanical and Electrical Automation,1,1.0,China
St. Louis University,1,34.0,Finland
School of Music and Dance of Yunnan Normal University,1,6.0,China
School of Nanjing Institute of Railway Technology,1,13.0,China
St. Joseph’s Instituteof Technology,1,0.0,India
St. Joseph’s College (Autonomous) (Affiliated to Bharathidasan University),1,20.0,India
St. Joseph’s College (Autonomous),1,5.0,India
St. Luke’s General Hospital,1,11.0,Ireland
School of Medical Technology and Engineering,1,2.0,China
B.S. Abdur Rahman Crescent Institute of Science & Technology,1,7.0,Cuba
B.S. Abdur Rahman Crescent Institute Of Science And Technology,1,0.0,India
BIRDEM General Hospital,1,1.0,Bangladesh
BIM Technology Center,1,2.0,China
School of Medicine (SoM),1,11.0,Australia
School of Medicine Dentistry and Biomedical Sciences,1,98.0,Ireland
School of Medicine Keiko University,1,80.0,Japan
School of Medical Science,1,3.0,Malaysia
School of Medicine Shanghai Jiao Tong University,1,9.0,China
School of Mechanical and Electronic Engineering,1,2.0,China
School of Mechanical and Manufacturing Engineering,1,15.0,China
BGI Institute of Applied Agriculture,1,5.0,China
School of Mechanical and Materials Engineering,1,36.0,Iran
School of Mechanical and Vehicular Engineering Beijing Institute of Technology,1,0.0,China
BCMaterials-Basque Center for Materials,1,37.0,Egypt
BC Women’s Health Research Institute,1,9.0,Canada
School of Medical College,1,3.0,China
BGS Global Institute of Medical Sciences,1,1.0,India
School of Fine Arts and Creativity,1,1.0,China
Sultan Qaboos University Hospital,1,1.0,Oman
School of Food & Bioengineering,1,0.0,China
Sultan Qaboos Cancer Centre,1,0.0,Canada
Sultan Moulay Slimane University,1,4.0,Morocco
School of Food and Environmental Engineering,1,0.0,China
School of Foreign Language Studies,1,6.0,China
B S Abdur Rahman Crescent Institute of Science and Technology,1,26.0,Ethiopia
School of Law in Southwest Minzu University,1,1.0,China
B S A R Crescent Institute of Science and Technology,1,9.0,Ethiopia
School of Foreign Languages & International Business,1,5.0,China
B N M Institute of Technology,1,30.0,Egypt
B N College,1,147.0,India
School of Foreign Languages Sichuan Technology and Business University,1,6.0,China
Sun Field Clinic,1,5.0,Japan
Summer Foundation,1,0.0,Australia
Sumitomo Hospital,1,1909.0,Japan
School of Foreign Language Wuhan Institute of Technology Wuhan,1,0.0,China
Beijing General Municipal Engineering Design and Research Institute Co.,1,2.0,China
Sunway Business School,1,8.0,Australia
Sunshine Union Hospital of Weifang,1,6.0,China
Sunshine Union Hospital of Shandong Province,1,7.0,China
Beijing Genomics Institute-Shenzhen Shenzhen,1,14.0,China
Sunshine Coast University Hospital,1,10.0,Australia
Sunrise University,1,9.0,China
Aﬃliated to Manonmaniam Sundaranar University,1,9.0,Ghana
Aziz Bhatti Shaheed Teaching Hospital,1,0.0,Georgia
Beijing Geotechnical and Investigation Engineering Institute,1,28.0,China
Beijing Geriatric Hospital,1,9.0,China
Beijing Haidian Adult University (Zhongguancun College),1,9.0,China
Aﬃliated Hospital of Shandong University of Traditional Chinese Medicine,1,23.0,China
Beijing Haidian District Staff University,1,1.0,China
A’ba Teacher’s University,1,1.0,China
School of Electronic Information Engineering Tianjin University,1,2.0,China
Azzawia University,1,9.0,Libya
School of Fine Arts,1,6.0,China
Aﬃliated People’s Hospital of Shanxi Medical University,1,3.0,China
Suez Canal University Hospital,1,1.0,Egypt
Suef University,1,13.0,Egypt
Sudharsan college of Arts and science,1,0.0,India
School of Exhibition and Economic Management,1,2.0,China
Sudharsan Engineering College,1,3.0,India
Suleman Demirel University,1,5.0,Turkey
Suleiman Demirel University,1,38.0,Bangladesh
Sulaimany polytechnic University -College of applied science,1,3.0,China
Suminoya Rheumatism & Orthopedics Clinic,1,0.0,Japan
School of Faculty of Arts,1,6.0,China
Sulaiman Al Rajhi University,1,2.0,Hungary
School of Fashion Design,1,4.0,China
School of Fashion Engineering,1,2.0,China
Suizhon Vocational and technical college,1,0.0,China
Suixi County Hospital,1,1.0,China
School of Fashion Zhejiang Sci-Tech University,1,0.0,China
Azad University of Tehran South Branch,1,97.0,India
Sulaimani Polytechnic University,1,179.0,Iran
School of Finance &economics Jiangsu University,1,0.0,China
School of Finance Harbin University of Commerce Harbin,1,0.0,China
School of Finance Nanjing Finance and Economy University,1,1.0,China
Sultan Sharif Ali Islamic University (UNISSA),1,10.0,Brunei (Brunei Darussalam)
Sun Yat-sen University & Guangdong Key Laboratory of Stomatology,1,0.0,China
Sun Yat-sen Memorial Hospital of Sun Yat-sen University,1,2.0,China
Sun Yat-Sen university,1,29.0,China
Sun Yat-Sen University of Medical Sciences,1,187.0,China
School of Exercise and Sport Science,1,6.0,France
Sun Yat-Sen University and Key Laboratory on Assisted Circulation,1,20.0,China
Sun Yat-Sen University School of Geography and Urban Planning,1,0.0,China
Sun Yat-Sen University Cancer Hospital,1,6.0,China
Sun Yat Sen University School of Law,1,0.0,China
School of Financial Technology,1,13.0,China
School of Environmental Science and Engineering Guangzhou University,1,1.0,China
School of Equipment Engineering,1,8.0,China
Suihua First Hospital in Heilongjiang Province,1,22.0,China
Suifenhe Maternal and Child Health Care Hospital,1,4.0,China
School of Finance and Taxation,1,1.0,China
Surgical Clinic,1,1.0,Serbia
School of Electro-Mechanical and Information Technology,1,10.0,China
School of Electromechanical and Automotive Engineering,1,3.0,China
Suwon Women’s University,1,30.0,Hong Kong
Suto Central Hospital,1,0.0,Japan
Sussex Partnership NHS Foundation Trust,1,11.0,Portugal
School of Engineering Economics,1,8.0,China
School of Engineering Fujian Jiangxia University Fuzhou Fujian 350108,1,2.0,China
Sunway International Business School,1,43.0,China
Susangerd Branch Islamic Azad University,1,15.0,Iran
Surya School of Pharmacy,1,2.0,India
School of Engineering NICMAR University Pune,1,3.0,India
Survey Design and Research Institute of the Handan City Water Utilities,1,0.0,China
Sun Yat‑sen University,1,15.0,China
Sun Yat‑Sen University,1,8.0,China
Sun Yatsen University Cancer Center,1,67.0,China
